"","k","delay.peakload.symponset","symp.thresh"
"1",1,-0.0058,3
"2",2,0.000899999999999998,3
"3",3,0.0011,3
"4",4,0.000699999999999999,3
"5",5,0.000199999999999999,3
"6",6,-0.000199999999999999,3
"7",7,-0.000599999999999996,3
"8",8,-0.000899999999999998,3
"9",9,-0.0012,3
"10",10,-0.00140000000000001,3
"11",11,-0.0016,3
"12",12,-0.0018,3
"13",13,-0.002,3
"14",14,-0.002,3
"15",15,-0.0021,3
"16",16,-0.0023,3
"17",17,-0.0023,3
"18",18,-0.0024,3
"19",19,-0.0024,3
"20",20,-0.0025,3
