"","k","delay.peakload.symponset","symp.thresh"
"1",1,0.0029,2
"2",2,0.0057,2
"3",3,0.00480000000000001,2
"4",4,0.0037,2
"5",5,0.0028,2
"6",6,0.0022,2
"7",7,0.0016,2
"8",8,0.0011,2
"9",9,0.000700000000000006,2
"10",10,0.000399999999999998,2
"11",11,9.99999999999959e-05,2
"12",12,-0.000199999999999999,2
"13",13,-0.000400000000000001,2
"14",14,-5e-04,2
"15",15,-0.000700000000000003,2
"16",16,-0.000900000000000001,2
"17",17,-0.000900000000000001,2
"18",18,-0.0011,2
"19",19,-0.0012,2
"20",20,-0.0012,2
