"","time","transmission_potential","immune","gamma","r","dose"
"1",0,0.001,0,5e-05,70,1
"2",0.001,0.00107250850982172,0.000999750134461506,5e-05,70,1
"3",0.002,0.00115026561845022,0.00199900071633452,5e-05,70,1
"4",0.003,0.00123365926101465,0.00299775202958591,5e-05,70,1
"5",0.004,0.00132309430396789,0.00399600435309493,5e-05,70,1
"6",0.005,0.00141900711403466,0.0049937579711798,5e-05,70,1
"7",0.006,0.00152186724766928,0.00599101317187864,5e-05,70,1
"8",0.007,0.00163217802146524,0.00698777024709992,5e-05,70,1
"9",0.008,0.00175047849111871,0.00798402949296224,5e-05,70,1
"10",0.009,0.00187734684541092,0.00897979121028543,5e-05,70,1
"11",0.01,0.00201340307327939,0.00997505570502116,5e-05,70,1
"12",0.011,0.00215931209311766,0.0109698232887641,5e-05,70,1
"13",0.012,0.00231578693516727,0.0119640942792727,5e-05,70,1
"14",0.013,0.00248359211800034,0.0129578690010353,5e-05,70,1
"15",0.014,0.00266354743872777,0.01395114778591,5e-05,70,1
"16",0.015,0.00285653197617764,0.0149439309738122,5e-05,70,1
"17",0.016,0.00306348835929313,0.0159362189134581,5e-05,70,1
"18",0.017,0.00328542736801495,0.0169280119631768,5e-05,70,1
"19",0.018,0.00352343285403225,0.0179193104917907,5e-05,70,1
"20",0.019,0.00377866701301156,0.0189101148795722,5e-05,70,1
"21",0.02,0.00405237604508446,0.0199004255192831,5e-05,70,1
"22",0.021,0.00434589622458431,0.0208902428173058,5e-05,70,1
"23",0.022,0.00466066040525539,0.0218795671948695,5e-05,70,1
"24",0.023,0.00499820499499321,0.0228683990893827,5e-05,70,1
"25",0.024,0.00536017743425231,0.0238567389558802,5e-05,70,1
"26",0.025,0.00574834421409872,0.0248445872685931,5e-05,70,1
"27",0.026,0.00616459947285711,0.025831944522653,5e-05,70,1
"28",0.027,0.00661097421305799,0.0268188112359421,5e-05,70,1
"29",0.028,0.00708964618341049,0.0278051879510995,5e-05,70,1
"30",0.029,0.00760295047375209,0.0287910752376986,5e-05,70,1
"31",0.03,0.00815339087437617,0.0297764736946088,5e-05,70,1
"32",0.031,0.00874365205484345,0.0307613839525564,5e-05,70,1
"33",0.032,0.00937661262135263,0.0317458066769024,5e-05,70,1
"34",0.033,0.0100553591160012,0.0327297425706537,5e-05,70,1
"35",0.034,0.0107832010258292,0.0337131923777281,5e-05,70,1
"36",0.035,0.0115636868744287,0.0346961568864931,5e-05,70,1
"37",0.036,0.0124006214741446,0.0356786369336016,5e-05,70,1
"38",0.037,0.0132980844225106,0.0366606334081489,5e-05,70,1
"39",0.038,0.0142604499325897,0.0376421472561768,5e-05,70,1
"40",0.039,0.0152924080933438,0.0386231794855533,5e-05,70,1
"41",0.04,0.0163989876630812,0.0396037311712601,5e-05,70,1
"42",0.041,0.0175855805064503,0.0405838034611184,5e-05,70,1
"43",0.042,0.0188579677933996,0.0415633975819922,5e-05,70,1
"44",0.043,0.0202223480870544,0.0425425148465044,5e-05,70,1
"45",0.044,0.0216853674565968,0.0435211566603114,5e-05,70,1
"46",0.045,0.0232541517610349,0.0444993245299777,5e-05,70,1
"47",0.046,0.0249363412602485,0.045477020071503,5e-05,70,1
"48",0.047,0.0267401277209552,0.0464542450195515,5e-05,70,1
"49",0.048,0.0286742941973101,0.0474310012374428,5e-05,70,1
"50",0.049,0.0307482576787858,0.0484072907279653,5e-05,70,1
"51",0.05,0.0329721148118455,0.0493831156450783,5e-05,70,1
"52",0.051,0.0353566909167843,0.0503584783065756,5e-05,70,1
"53",0.052,0.0379135925370466,0.0513333812077869,5e-05,70,1
"54",0.053,0.0406552637754031,0.0523078270364036,5e-05,70,1
"55",0.054,0.0435950466896771,0.0532818186885162,5e-05,70,1
"56",0.055,0.0467472460403309,0.0542553592859639,5e-05,70,1
"57",0.056,0.0501271987032554,0.0552284521951007,5e-05,70,1
"58",0.057,0.0537513480836495,0.0562011010470929,5e-05,70,1
"59",0.058,0.0576373238910415,0.0571733097598702,5e-05,70,1
"60",0.059,0.0618040276614069,0.0581450825618648,5e-05,70,1
"61",0.06,0.0662717244400993,0.0591164240176808,5e-05,70,1
"62",0.061,0.0710621410690733,0.0600873390558495,5e-05,70,1
"63",0.062,0.0761985715537733,0.0610578329988391,5e-05,70,1
"64",0.063,0.0817059900192561,0.0620279115954975,5e-05,70,1
"65",0.064,0.0876111718017606,0.0629975810561246,5e-05,70,1
"66",0.065,0.0939428232612208,0.0639668480903852,5e-05,70,1
"67",0.066,0.100731720942321,0.0649357199482889,5e-05,70,1
"68",0.067,0.108010860756821,0.0659042044644828,5e-05,70,1
"69",0.068,0.115815617908256,0.0668723101061228,5e-05,70,1
"70",0.069,0.124183918331943,0.0678400460246086,5e-05,70,1
"71",0.07,0.133156422478833,0.068807422111492,5e-05,70,1
"72",0.071,0.142776722331259,0.0697744490588923,5e-05,70,1
"73",0.072,0.153091552602517,0.0707411384247776,5e-05,70,1
"74",0.073,0.164151017140619,0.0717075027035019,5e-05,70,1
"75",0.074,0.176008831629889,0.0726735554020181,5e-05,70,1
"76",0.075,0.188722583762688,0.0736393111222177,5e-05,70,1
"77",0.076,0.202354012137813,0.0746047856498893,5e-05,70,1
"78",0.077,0.216969305232367,0.0755699960508222,5e-05,70,1
"79",0.078,0.232639421890736,0.0765349607746263,5e-05,70,1
"80",0.079,0.249440434877978,0.0774996997668842,5e-05,70,1
"81",0.08,0.267453899156121,0.0784642345903006,5e-05,70,1
"82",0.081,0.286767246661022,0.0794285885555676,5e-05,70,1
"83",0.082,0.307474209485107,0.0803927868627216,5e-05,70,1
"84",0.083,0.329675273508181,0.0813568567538302,5e-05,70,1
"85",0.084,0.353478164665185,0.0823208276779154,5e-05,70,1
"86",0.085,0.378998370196931,0.0832847314690899,5e-05,70,1
"87",0.086,0.406359697398347,0.0842486025389648,5e-05,70,1
"88",0.087,0.4356948725593,0.0852124780844714,5e-05,70,1
"89",0.088,0.467146182986537,0.0861763983123314,5e-05,70,1
"90",0.089,0.500866165202668,0.0871404066815103,5e-05,70,1
"91",0.09,0.537018342640313,0.0881045501650981,5e-05,70,1
"92",0.091,0.575778016387696,0.0890688795331777,5e-05,70,1
"93",0.092,0.61733311279716,0.0900334496583691,5e-05,70,1
"94",0.093,0.66188509204156,0.0909983198458764,5e-05,70,1
"95",0.094,0.709649921996578,0.0919635541900137,5e-05,70,1
