"","time","transmission_potential","immune","gamma","r","dose"
"1",0,0.001,0,1e-04,10,1
"2",0.001,0.00101004847532361,0.000999750238654915,1e-04,10,1
"3",0.002,0.00102019435341012,0.00199900108442817,1e-04,10,1
"4",0.003,0.00103043854322368,0.00299775279342339,1e-04,10,1
"5",0.004,0.00104078184650866,0.00399600559015019,1e-04,10,1
"6",0.005,0.00105122534002531,0.00499375977392585,1e-04,10,1
"7",0.006,0.00106176991955913,0.00599101559057259,1e-04,10,1
"8",0.007,0.00107241652690727,0.00698777329658221,1e-04,10,1
"9",0.008,0.00108316611181552,0.00798403314842288,1e-04,10,1
"10",0.009,0.00109401963368849,0.00897979540253564,1e-04,10,1
"11",0.01,0.00110497805980979,0.00997506031534126,1e-04,10,1
"12",0.011,0.0011160423661057,0.0109698281432394,1e-04,10,1
"13",0.012,0.00112721353728062,0.0119640991426099,1e-04,10,1
"14",0.013,0.00113849256683053,0.0129578735698138,1e-04,10,1
"15",0.014,0.00114988045712506,0.0139511516811953,1e-04,10,1
"16",0.015,0.00116137821947811,0.0149439337330825,1e-04,10,1
"17",0.016,0.00117298687422319,0.0159362199817892,1e-04,10,1
"18",0.017,0.00118470745079299,0.016928010683616,1e-04,10,1
"19",0.018,0.00119654098779659,0.0179193060948517,1e-04,10,1
"20",0.019,0.00120848853309764,0.0189101064717747,1e-04,10,1
"21",0.02,0.00122055114389336,0.0199004120706545,1e-04,10,1
"22",0.021,0.00123272988679418,0.020890223147753,1e-04,10,1
"23",0.022,0.00124502583790395,0.0218795399593261,1e-04,10,1
"24",0.023,0.00125744008290089,0.0228683627616249,1e-04,10,1
"25",0.024,0.00126997371711913,0.0238566918108973,1e-04,10,1
"26",0.025,0.00128262784563097,0.0248445273633894,1e-04,10,1
"27",0.026,0.0012954035833298,0.0258318696753471,1e-04,10,1
"28",0.027,0.00130830205501362,0.0268187190030177,1e-04,10,1
"29",0.028,0.00132132439546937,0.027805075602651,1e-04,10,1
"30",0.029,0.00133447174955779,0.0287909397305013,1e-04,10,1
"31",0.03,0.00134774527229913,0.0297763116428286,1e-04,10,1
"32",0.031,0.00136114612895939,0.0307611915959006,1e-04,10,1
"33",0.032,0.00137467549513744,0.0317455798459937,1e-04,10,1
"34",0.033,0.00138833455685267,0.0327294766493951,1e-04,10,1
"35",0.034,0.00140212451063346,0.0337128822624041,1e-04,10,1
"36",0.035,0.00141604656360636,0.0346957969413339,1e-04,10,1
"37",0.036,0.00143010193358594,0.0356782209425132,1e-04,10,1
"38",0.037,0.0014442918491654,0.0366601545222879,1e-04,10,1
"39",0.038,0.00145861754980793,0.0376415979370228,1e-04,10,1
"40",0.039,0.00147308028593877,0.038622551443103,1e-04,10,1
"41",0.04,0.00148768131903803,0.0396030152969361,1e-04,10,1
"42",0.041,0.00150242192173429,0.0405829897549536,1e-04,10,1
"43",0.042,0.00151730337789891,0.0415624750736128,1e-04,10,1
"44",0.043,0.00153232698274112,0.0425414715093984,1e-04,10,1
"45",0.044,0.00154749404290389,0.0435199793188244,1e-04,10,1
"46",0.045,0.00156280587656055,0.0444979987584361,1e-04,10,1
"47",0.046,0.00157826381351222,0.0454755300848114,1e-04,10,1
